"weight";"word";"color";"url"
"15";"C";"";""
"15";"C++";"";""
"15";"Java";"";""
"15";"Python";"";""
"10";"Javascript";"";""
"10";"PHP";"";""
"8";"AWS";"";""
"3";"API";"";""
"2";"Kinesis";"";""
"2";"Stream";"";""
"1";"Appsync";"";""
"1";"Celery";"";""
"1";"Cypher";"";""
"1";"Django";"";""
"1";"Docker";"";""
"1";"DynamoDB";"";""
"1";"Git";"";""
"1";"Github";"";""
"1";"GraphQL";"";""
"1";"HFS";"";""
"1";"Intellij";"";""
"1";"IPython";"";""
"1";"JIRA";"";""
"1";"Lambda";"";""
"1";"MapReduce";"";""
"1";"MongoDb";"";""
"1";"MySQL";"";""
"1";"Neo4j";"";""
"1";"Neptune";"";""
"1";"OpenRefine";"";""
"1";"PyCharm";"";""
"1";"PySpark";"";""
"1";"ReactJs";"";""
"1";"Rekognition";"";""
"1";"REST";"";""
"1";"Spring";"";""
"1";"SQL";"";""
"1";"SQS";"";""
